ticker,series,strategy,yes_ask,entry_price,pnl
KXSOLD-26AUG0118-T71.4999,KXSOLD,fav_yes,0.96,0.96,0.03731200000000003
KXSOLD-26AUG0116-T71.4999,KXSOLD,fade_no,0.04,0.98,0.018628000000000016
KXSOLD-26AUG0116-T71.4999,KXSOLD,lotto_yes,0.04,0.04,-0.042688000000000004
KXSOLD-26AUG0116-T70.9999,KXSOLD,fav_yes,0.9,0.9,0.09369999999999998
KXSOLD-26AUG0115-T71.7499,KXSOLD,fade_no,0.05,0.97,0.027963000000000026
KXSOLD-26AUG0115-T71.7499,KXSOLD,lotto_yes,0.05,0.05,-0.053325000000000004
KXSOLD-26AUG0115-T71.4999,KXSOLD,fade_no,0.08,0.95,0.04667500000000004
KXSOLD-26AUG0115-T71.4999,KXSOLD,lotto_yes,0.08,0.08,-0.085152
KXSOLD-26AUG0115-T70.9999,KXSOLD,fav_yes,0.8,0.8,0.18879999999999997
KXSOLD-26AUG0114-T72.9999,KXSOLD,fade_no,0.03,0.99,0.009307000000000008
KXSOLD-26AUG0114-T72.9999,KXSOLD,lotto_yes,0.03,0.03,-0.032036999999999996
KXSOLD-26AUG0114-T72.7499,KXSOLD,fade_no,0.05,0.97,0.027963000000000026
KXSOLD-26AUG0114-T72.7499,KXSOLD,lotto_yes,0.05,0.05,-0.053325000000000004
KXSOLD-26AUG0114-T71.2499,KXSOLD,fav_yes,0.97,0.97,0.027963000000000026
KXSOLD-26AUG0112-T72.9999,KXSOLD,fade_no,0.03,0.98,0.018628000000000016
KXSOLD-26AUG0112-T72.9999,KXSOLD,lotto_yes,0.03,0.03,-0.032036999999999996
KXSOLD-26AUG0111-T72.9999,KXSOLD,fade_no,0.13,0.91,0.08426699999999997
KXSOLD-26AUG0111-T72.9999,KXSOLD,lotto_yes,0.13,0.13,-0.137917
KXSOLD-26AUG0111-T72.7499,KXSOLD,fav_yes,0.97,0.97,0.027963000000000026
KXSOLD-26AUG0110-T72.9999,KXSOLD,fade_no,0.15,0.89,0.10314699999999999
KXSOLD-26AUG0110-T72.9999,KXSOLD,lotto_yes,0.15,0.15,-0.15892499999999998
KXSOLD-26AUG0109-T72.9999,KXSOLD,fade_no,0.04,0.98,0.018628000000000016
KXSOLD-26AUG0109-T72.9999,KXSOLD,lotto_yes,0.04,0.04,-0.042688000000000004
KXSOLD-26AUG0109-T72.7499,KXSOLD,fav_yes,0.96,0.96,0.03731200000000003
KXSOLD-26AUG0108-T72.9999,KXSOLD,fade_no,0.04,0.98,0.018628000000000016
KXSOLD-26AUG0108-T72.9999,KXSOLD,lotto_yes,0.04,0.04,-0.042688000000000004
KXSOLD-26AUG0108-T72.7499,KXSOLD,fav_yes,0.87,0.87,0.122083
KXSOLD-26AUG0107-T72.9999,KXSOLD,fade_no,0.03,0.99,0.009307000000000008
KXSOLD-26AUG0107-T72.9999,KXSOLD,lotto_yes,0.03,0.03,-0.032036999999999996
KXSOLD-26AUG0107-T72.7499,KXSOLD,fav_yes,0.83,0.83,0.16012300000000004
KXSOLD-26AUG0106-T72.9999,KXSOLD,fade_no,0.13,0.89,0.10314699999999999
KXSOLD-26AUG0106-T72.9999,KXSOLD,lotto_yes,0.13,0.13,-0.137917
KXSOLD-26AUG0105-T72.9999,KXSOLD,fade_no,0.11,0.9,0.09369999999999998
