mid_decile,spread_cents,n,avg_bid_size,avg_ask_size
3,34,11,88.20818181818181,73.54545454545455
3,35,2,165.5,5.5
3,36,131,7.313893129770992,230.75572519083968
3,37,4,226.25,1.75
3,38,10,46.8,192.73
3,39,5,300.0,2.0
3,40,6,269.1666666666667,251.66666666666666
3,41,8,232.5,52.5475
3,42,56,86.30357142857143,805.25
3,43,6,254.16666666666666,2.0
3,44,19,279.8421052631579,2.0
3,45,82,81.78487804878048,565.0
3,46,5,1003.0,925.4
3,47,5,1009.8,934.2
3,48,7,274.2857142857143,490.2857142857143
3,49,7,86.42857142857143,285.0
3,50,48,120.74958333333332,73.08333333333333
3,51,362,0.4110497237569061,70.90883977900552
3,52,57,852.140350877193,226.1578947368421
3,53,133,94.84706766917293,93.44338345864661
3,54,375,5281.837333333333,70.72266666666667
3,55,17,3291.9411764705883,868.1764705882352
3,56,15,3001.4666666666667,733.2666666666667
3,57,13,3462.230769230769,449.9230769230769
3,58,140,779.6785714285714,172.50878571428572
3,59,9,3335.8888888888887,127.33333333333333
3,60,120,243.9249166666667,242.96216666666666
3,61,9,564.7777777777778,507.0
3,62,131,81.14977099236641,220.1828244274809
3,63,48,232.03083333333333,259.9583333333333
3,64,781,25.9244814340589,32.28553137003841
3,65,50,3642.8066000000003,137.84
3,66,14,764.5878571428572,528.4285714285714
3,67,24,1369.75,314.375
3,68,889,4051.8638807649045,227.11923509561305
3,69,254,126.59055118110236,188.78346456692913
3,70,605,1643.3818181818183,124.8694214876033
3,71,326,652.6441717791411,99.83435582822086
3,72,441,5994.056689342404,249.2562358276644
3,73,1313,153.4874333587205,86.3947448591013
3,74,56,10.0,0.11
3,75,73,75.22191780821917,385.26027397260276
3,76,15,1338.4666666666667,482.93333333333334
3,77,2,5113.0,1479.5
4,1,36257,1808.573182557851,2761.0919902363685
4,2,29199,2206.7553279221893,2456.068050960649
4,3,29613,1962.9076530577786,1875.9595235200757
4,4,11319,1382.573019701387,1531.517313366905
4,5,6250,1371.01148,1405.2971472
4,6,2364,779.5874534686972,934.447986463621
4,7,2412,628.1232669983417,855.3245895522388
4,8,2071,1114.3969193626267,1335.323293095123
4,9,1727,1139.8970932252462,1745.5436826867399
4,10,1556,651.1374935732648,3029.589967866324
4,11,371,2606.020808625337,1366.0659568733154
4,12,186,920.3655913978495,4276.193494623656
4,13,85,544.25,756.4257647058823
4,14,69,18.855072463768117,94.6231884057971
4,15,143,119.93006993006993,200.5034965034965
4,16,11,245.8181818181818,220.72727272727272
4,17,13,261.53846153846155,196.53846153846155
4,18,370,23.12391891891892,68.04054054054055
4,19,2,276.0,252.5
4,20,4,190.0325,157.25
4,22,1,152.47,8.0
4,23,1,106.0,5.0
4,24,130,1.3615384615384616,3.253846153846154
4,25,3,110.33333333333333,117.31666666666666
4,26,6,1.0,41.833333333333336
4,28,13,1.3846153846153846,8.923076923076923
4,29,18,15.777777777777779,51.55555555555556
4,32,2,138.0,593.67
4,33,2,92.5,2502.5
4,34,2,109.5,2502.5
4,35,1,24.0,1.0
4,36,2,25.5,776.5
4,39,2,90.0,24.0
4,40,8,50.603750000000005,9.785
4,41,22,292.51272727272726,232.04545454545453
4,42,41,317.4878048780488,83.53682926829269
4,43,1,86.0,1.0
4,44,2,575.0,123.62
4,45,130,255.06923076923076,43.823076923076925
4,47,146,1.1027397260273972,252.08219178082192
4,48,2,147.5,2501.5
4,49,1,300.0,300.0
4,50,7,740.4285714285714,57.00714285714286
4,51,150,488.17333333333335,94.276
4,52,11,35.72727272727273,277.0
4,53,165,2.7818181818181817,221.2969696969697
4,54,261,216.02298850574712,2499.7662835249043
4,55,159,13.789622641509435,36.227106918238995
4,56,65,208.30769230769232,57.184615384615384
4,57,426,12.786384976525822,244.9718309859155
4,58,165,13.26060606060606,207.56454545454545
4,59,44,42.27272727272727,69.65090909090908
4,60,17,106.3529411764706,33.55470588235294
4,61,387,499.2041343669251,105.6938242894057
4,62,313,11.178913738019169,322.7150798722045
4,63,141,376.97163120567376,85.63120567375887
4,64,625,136.3568,291.6416
4,65,16,2.875,9.6875
4,66,3,4.0,535.3333333333334
4,67,4,18.75,18.25
4,68,131,1200.648854961832,291.1374045801527
4,69,44,1006.4545454545455,241.27272727272728
4,70,7,83.0,723.1428571428571
4,71,7,1439.2857142857142,1002.5714285714286
4,72,7,13.714285714285714,301.2857142857143
4,73,5,30.4,1854.8
4,74,11,1823.6545454545455,444.1818181818182
4,75,11,1382.0454545454545,42.27272727272727
4,76,8,633.74875,210.0
4,77,58,1046.211551724138,657.3620689655172
4,78,224,246.5070982142857,89.78214285714286
4,79,251,1176.498844621514,24.738844621513945
4,80,132,91.76507575757576,126.3340909090909
4,81,128,273.688125,220.51578125
4,82,431,229.94918793503481,245.4552204176334
4,83,167,30.71616766467066,118.26359281437126
4,84,3055,41.64034042553192,37.441309328968906
4,85,84,476.49369047619047,453.7142857142857
4,86,4,5000.0,96.0025
4,87,6,5000.0,2411.5
4,88,3,5016.666666666667,1785.6666666666667
4,90,1,5000.0,5544.0
4,91,12,1429.0833333333333,545.5833333333334
4,92,1,2730.0,259.0
4,93,1,10.0,31.0
4,95,1,5000.0,5260.0
4,96,124,337.9032258064516,82.4758064516129
4,97,5,5000.0,3259.2
5,1,35531,2156.648118825814,2503.1470099349863
5,2,29145,2571.915721393035,2709.876906845085
5,3,25165,2040.3211682892909,1575.1252592886945
5,4,12009,1301.3169947539345,1540.303262553085
5,5,6192,1421.692479005168,1396.9768297803616
5,6,3530,586.9600368271955,668.0510339943343
5,7,3071,699.9225529143602,795.9138749592965
5,8,3369,671.9686642920749,1289.1124191154645
5,9,2799,1055.7700071454092,1472.6962450875312
5,10,3175,2671.679143307086,824.7208440944883
5,11,1004,1962.8598306772908,2810.0083964143428
5,12,337,3530.3267062314544,1783.2166172106824
5,13,127,3253.5596850393704,3170.1789763779525
5,14,735,56.97224489795918,5.883809523809524
5,15,12,1466.6666666666667,351.5125
5,16,4,523.55,370.5125
5,17,5,281.4,44.6
5,18,2,760.0,850.0
5,19,1,4950.0,200.0
5,20,6,231.83333333333334,94.0
5,21,1,50.0,147.93
5,22,3,693.3333333333334,269.4733333333333
5,23,23,40.0,56.26086956521739
5,24,9,2.0,39.4
5,25,261,100.183908045977,21.318773946360153
5,26,3,174.0,105.0
5,27,22,112.85636363636364,148.6818181818182
5,28,6,87.0,55.666666666666664
5,29,49,15.489795918367347,22.80734693877551
5,30,79,9.391392405063291,17.443037974683545
