ticker,ts,side,price,pnl
KXBTC-26AUG1100-B64050,1786419687589,sell,0.47,-0.53
KXBTC-26AUG1100-B64050,1786419737584,buy,0.58,0.42000000000000004
KXBTC-26AUG1100-B64050,1786419787718,sell,0.57,-0.43000000000000005
KXBTC-26AUG1100-B64050,1786420187454,buy,0.85,0.15000000000000002
KXBTC-26AUG1100-B64050,1786420287851,sell,0.85,-0.15000000000000002
KXBTC-26AUG1100-B64150,1786417664057,buy,0.12,-0.12
KXBTC-26AUG1100-B64150,1786417965708,sell,0.12,0.12
KXBTC-26AUG1100-B64150,1786418164870,sell,0.16,0.16
KXBTC-26AUG1100-B64150,1786418214516,sell,0.18,0.18
KXBTC-26AUG1100-B64150,1786418269340,sell,0.24,0.24
KXBTC-26AUG1100-B64150,1786418410671,buy,0.34,-0.34
KXBTC-26AUG1100-B64150,1786418590136,sell,0.32,0.32
KXBTC-26AUG1100-B64150,1786418787578,sell,0.41,0.41
KXBTC-26AUG1100-B64150,1786418837561,sell,0.45,0.45
KXBTC-26AUG1100-B64150,1786418887414,buy,0.49,-0.49
KXBTC-26AUG1100-B64150,1786418937237,buy,0.38,-0.38
KXBTC-26AUG1100-B64150,1786418987342,buy,0.36,-0.36
KXBTC-26AUG1100-B64150,1786419637595,sell,0.37,0.37
KXBTC-26AUG1100-B64150,1786419687443,buy,0.49,-0.49
KXBTC-26AUG1100-B64150,1786419787577,buy,0.37,-0.37
KXBTC-26AUG1100-B64150,1786419837348,buy,0.26,-0.26
KXBTC-26AUG1100-B64150,1786420287566,buy,0.13,-0.13
KXBTC-26AUG1101-B63950,1786422142202,buy,0.1,0.9
KXBTC-26AUG1101-B63950,1786422292232,sell,0.08,-0.92
KXBTC-26AUG1101-B63950,1786422342397,sell,0.1,-0.9
KXBTC-26AUG1101-B63950,1786422892370,sell,0.1,-0.9
KXBTC-26AUG1101-B63950,1786423392868,buy,0.08,0.92
KXBTC-26AUG1101-B63950,1786423741923,sell,0.06,-0.94
KXBTC-26AUG1101-B63950,1786423792000,buy,0.14,0.86
KXBTC-26AUG1101-B63950,1786423842066,sell,0.13,-0.87
KXBTC-26AUG1101-B63950,1786423891985,sell,0.39,-0.61
KXBTC-26AUG1101-B63950,1786423942146,sell,0.6,-0.4
KXBTC-26AUG1101-B63950,1786423992108,sell,0.65,-0.35
KXBTC-26AUG1101-B63950,1786424091959,buy,0.82,0.18000000000000005
KXBTC-26AUG1101-B63950,1786424142186,sell,0.81,-0.18999999999999995
KXBTC-26AUG1101-B64050,1786421341358,sell,0.52,0.52
KXBTC-26AUG1101-B64050,1786421391266,sell,0.55,0.55
KXBTC-26AUG1101-B64050,1786421745365,sell,0.6,0.6
KXBTC-26AUG1101-B64050,1786421843336,sell,0.62,0.62
KXBTC-26AUG1101-B64050,1786421893310,sell,0.64,0.64
KXBTC-26AUG1101-B64050,1786422143254,buy,0.66,-0.66
KXBTC-26AUG1101-B64050,1786422243103,sell,0.67,0.67
KXBTC-26AUG1101-B64050,1786423741588,buy,0.87,-0.87
KXBTC-26AUG1101-B64050,1786423791709,sell,0.81,0.81
KXBTC-26AUG1101-B64050,1786423841771,buy,0.84,-0.84
KXBTC-26AUG1101-B64050,1786423891700,buy,0.61,-0.61
KXBTC-26AUG1101-B64050,1786423941827,buy,0.42,-0.42
KXBTC-26AUG1101-B64050,1786423991805,buy,0.34,-0.34
KXBTC-26AUG1101-B64050,1786424042097,buy,0.3,-0.3
KXBTC-26AUG1101-B64050,1786424242001,buy,0.1,-0.1
KXBTC-26AUG1101-B64150,1786421291417,sell,0.27,0.27
KXBTC-26AUG1101-B64150,1786421391417,buy,0.27,-0.27
KXBTC-26AUG1101-B64150,1786422143400,sell,0.22,0.22
KXBTC-26AUG1101-B64150,1786422243253,buy,0.27,-0.27
KXBTC-26AUG1102-B63850,1786425546107,sell,0.08,0.08
KXBTC-26AUG1102-B63850,1786425643070,sell,0.13,0.13
KXBTC-26AUG1102-B63850,1786425692861,sell,0.29,0.29
KXBTC-26AUG1102-B63850,1786426293107,sell,0.28,0.28
KXBTC-26AUG1102-B63850,1786426342768,buy,0.29,-0.29
KXBTC-26AUG1102-B63850,1786426442929,buy,0.24,-0.24
KXBTC-26AUG1102-B63850,1786426542989,buy,0.1,-0.1
KXBTC-26AUG1102-B63950,1786425145312,sell,0.45,-0.55
KXBTC-26AUG1102-B63950,1786425395374,sell,0.47,-0.53
KXBTC-26AUG1102-B63950,1786425545285,sell,0.56,-0.43999999999999995
KXBTC-26AUG1102-B63950,1786425643224,buy,0.6,0.4
KXBTC-26AUG1102-B63950,1786426442030,sell,0.61,-0.39
KXBTC-26AUG1102-B63950,1786426542140,buy,0.69,0.31000000000000005
KXBTC-26AUG1102-B63950,1786426591880,buy,0.67,0.32999999999999996
KXBTC-26AUG1102-B63950,1786426692059,sell,0.63,-0.37
KXBTC-26AUG1102-B63950,1786426842057,sell,0.7,-0.30000000000000004
KXBTC-26AUG1102-B63950,1786427142184,buy,0.71,0.29000000000000004
KXBTC-26AUG1102-B63950,1786427192021,sell,0.68,-0.31999999999999995
KXBTC-26AUG1102-B63950,1786427242371,buy,0.78,0.21999999999999997
KXBTC-26AUG1102-B63950,1786427591921,sell,0.89,-0.10999999999999999
KXBTC-26AUG1102-B63950,1786427641659,sell,0.95,-0.050000000000000044
KXBTC-26AUG1102-B64050,1786425145894,buy,0.38,-0.38
KXBTC-26AUG1102-B64050,1786425545956,buy,0.33,-0.33
KXBTC-26AUG1102-B64050,1786426243143,buy,0.17,-0.17
KXBTC-26AUG1102-B64050,1786426442762,sell,0.11,0.11
KXBTC-26AUG1102-B64050,1786426542843,sell,0.17,0.17
KXBTC-26AUG1102-B64050,1786426842785,buy,0.27,-0.27
KXBTC-26AUG1102-B64050,1786426942845,buy,0.22,-0.22
KXBTC-26AUG1102-B64050,1786427143072,sell,0.21,0.21
KXBTC-26AUG1102-B64050,1786427192868,buy,0.27,-0.27
KXBTC-26AUG1102-B64050,1786427592360,buy,0.06,-0.06
KXBTC-26AUG1102-B64050,1786427642092,buy,0.04,-0.04
KXBTC-26AUG1103-B63850,1786428247034,buy,0.25,-0.25
KXBTC-26AUG1103-B63850,1786428348416,sell,0.22,0.22
KXBTC-26AUG1103-B63850,1786428398443,buy,0.25,-0.25
KXBTC-26AUG1103-B63850,1786428549838,buy,0.16,-0.16
KXBTC-26AUG1103-B63850,1786429200510,sell,0.13,0.13
KXBTC-26AUG1103-B63850,1786429350615,sell,0.17,0.17
KXBTC-26AUG1103-B63850,1786429500643,sell,0.2,0.2
KXBTC-26AUG1103-B63850,1786429550759,sell,0.26,0.26
KXBTC-26AUG1103-B63850,1786429600893,sell,0.29,0.29
KXBTC-26AUG1103-B63850,1786429650995,sell,0.39,0.39
KXBTC-26AUG1103-B63850,1786429700829,sell,0.48,0.48
KXBTC-26AUG1103-B63850,1786430399984,buy,0.6,-0.6
KXBTC-26AUG1103-B63850,1786430549923,sell,0.46,0.46
KXBTC-26AUG1103-B63850,1786430750161,buy,0.71,-0.71
KXBTC-26AUG1103-B63850,1786430799949,sell,0.67,0.67
KXBTC-26AUG1103-B63850,1786431200008,buy,0.91,-0.91
KXBTC-26AUG1103-B63850,1786431249824,buy,0.85,-0.85
KXBTC-26AUG1103-B63850,1786431349762,sell,0.78,0.78
KXBTC-26AUG1103-B63850,1786431499763,buy,0.96,-0.96
KXBTC-26AUG1103-B63850,1786431549685,buy,0.93,-0.93
KXBTC-26AUG1103-B63950,1786428196931,sell,0.49,-0.51
KXBTC-26AUG1103-B63950,1786428296811,sell,0.51,-0.49
KXBTC-26AUG1103-B63950,1786428549988,buy,0.56,0.43999999999999995
KXBTC-26AUG1103-B63950,1786428849716,sell,0.53,-0.47
KXBTC-26AUG1103-B63950,1786428899881,sell,0.57,-0.43000000000000005
KXBTC-26AUG1103-B63950,1786428950024,sell,0.59,-0.41000000000000003
KXBTC-26AUG1103-B63950,1786429500495,buy,0.66,0.33999999999999997
KXBTC-26AUG1103-B63950,1786429600748,buy,0.6,0.4
KXBTC-26AUG1103-B63950,1786429650810,buy,0.51,0.49
KXBTC-26AUG1103-B63950,1786429700679,buy,0.46,0.54
KXBTC-26AUG1103-B63950,1786429750823,sell,0.37,-0.63
KXBTC-26AUG1103-B63950,1786429800830,buy,0.38,0.62
KXBTC-26AUG1103-B63950,1786429850804,buy,0.3,0.7
KXBTC-26AUG1103-B63950,1786429900629,sell,0.22,-0.78
KXBTC-26AUG1103-B63950,1786429950612,buy,0.29,0.71
KXBTC-26AUG1103-B63950,1786430049800,buy,0.21,0.79
KXBTC-26AUG1103-B63950,1786430149970,sell,0.19,-0.81
